Date,Transmission Category,Case Disposition,Case Count
2020/03/23,Unknown,Confirmed,2
2020/03/19,Unknown,Confirmed,1
2020/03/26,From Contact,Confirmed,10
2020/03/21,Community,Confirmed,23
2020/03/28,From Contact,Confirmed,7
2020/04/14,Community,Death,1
2020/03/15,Community,Confirmed,7
2020/03/05,Community,Confirmed,2
2020/03/17,From Contact,Confirmed,2
2020/03/27,From Contact,Death,1
2020/03/29,From Contact,Confirmed,5
2020/03/31,Unknown,Confirmed,2
2020/03/30,Unknown,Confirmed,2
2020/03/28,Unknown,Confirmed,3
2020/03/18,Unknown,Confirmed,1
2020/03/25,Community,Confirmed,32
2020/04/13,From Contact,Confirmed,10
2020/04/01,Unknown,Confirmed,8
2020/04/15,From Contact,Death,1
2020/04/11,Community,Confirmed,20
2020/04/01,From Contact,Confirmed,15
2020/03/31,Community,Death,1
2020/04/14,From Contact,Death,1
2020/03/09,From Contact,Confirmed,1
2020/04/08,Unknown,Confirmed,20
2020/03/20,Community,Confirmed,20
2020/03/20,From Contact,Confirmed,2
2020/04/08,Community,Confirmed,14
2020/03/07,From Contact,Confirmed,1
2020/04/03,From Contact,Confirmed,8
2020/03/31,Community,Confirmed,13
2020/04/06,Community,Death,1
2020/03/28,Community,Confirmed,30
2020/03/29,Community,Confirmed,22
2020/04/12,Community,Confirmed,8
2020/03/27,Community,Death,1
2020/04/05,From Contact,Confirmed,5
2020/03/06,From Contact,Confirmed,4
2020/03/18,Community,Confirmed,1
2020/03/29,Unknown,Confirmed,3
2020/04/11,From Contact,Death,1
2020/03/30,Community,Death,1
2020/03/27,Community,Confirmed,33
2020/03/24,Community,Confirmed,33
2020/04/04,Unknown,Confirmed,4
2020/04/04,Community,Confirmed,16
2020/04/13,Unknown,Death,1
2020/04/02,Community,Confirmed,25
2020/04/01,Community,Death,2
2020/04/14,Unknown,Confirmed,12
2020/04/12,Unknown,Confirmed,5
2020/04/25,Unknown,Confirmed,15
2020/04/10,Unknown,Confirmed,34
2020/04/17,From Contact,Confirmed,4
2020/04/06,Unknown,Confirmed,13
2020/04/19,Unknown,Death,1
2020/04/08,Community,Death,1
2020/04/21,Unknown,Confirmed,14
2020/04/22,Community,Confirmed,8
2020/04/18,Community,Confirmed,14
2020/04/16,Unknown,Confirmed,14
2020/04/19,Community,Confirmed,16
2020/04/21,Community,Confirmed,5
2020/03/17,From Contact,Death,1
2020/04/17,Community,Confirmed,10
2020/04/07,Community,Death,1
2020/04/26,Unknown,Confirmed,2
2020/04/23,Unknown,Confirmed,28
2020/04/15,Community,Confirmed,15
2020/04/14,Community,Confirmed,14
2020/04/17,Unknown,Confirmed,9
2020/04/09,Unknown,Confirmed,19
2020/04/05,Unknown,Confirmed,3
2020/04/05,Community,Confirmed,10
2020/03/12,Community,Confirmed,9
2020/04/03,Community,Confirmed,13
2020/04/19,From Contact,Confirmed,6
2020/04/19,Unknown,Confirmed,25
2020/04/25,Community,Death,1
2020/04/03,Unknown,Confirmed,11
2020/04/20,From Contact,Confirmed,2
2020/03/24,Unknown,Confirmed,3
2020/04/13,Community,Confirmed,15
2020/04/01,Community,Confirmed,25
2020/03/27,From Contact,Confirmed,9
2020/04/24,Unknown,Confirmed,32
2020/04/22,Unknown,Confirmed,13
2020/03/25,Unknown,Confirmed,2
2020/04/25,Community,Confirmed,1
2020/04/20,Community,Confirmed,6
2020/04/16,From Contact,Confirmed,7
2020/04/10,Community,Confirmed,28
2020/04/15,Unknown,Confirmed,34
2020/04/22,From Contact,Confirmed,11
2020/04/23,Community,Confirmed,1
2020/04/24,Community,Confirmed,2
2020/04/21,From Contact,Confirmed,5
2020/03/26,From Contact,Death,1
2020/04/02,From Contact,Confirmed,12
2020/03/24,Community,Death,1
2020/03/11,Community,Confirmed,5
2020/04/16,Community,Confirmed,6
2020/04/18,Unknown,Confirmed,12
2020/04/23,From Contact,Confirmed,1
2020/04/20,Unknown,Confirmed,16
2020/04/15,From Contact,Confirmed,16
2020/03/26,Community,Death,2
2020/04/05,Community,Death,1
2020/04/06,Community,Confirmed,18
2020/03/17,Community,Confirmed,7
2020/04/18,From Contact,Confirmed,9
2020/03/22,From Contact,Confirmed,3
2020/04/13,Unknown,Confirmed,4
2020/04/25,Community,Confirmed,1
2020/03/30,Community,Confirmed,22
2020/04/09,Community,Confirmed,34
2020/03/16,Community,Confirmed,8
2020/04/14,From Contact,Confirmed,10
2020/03/16,From Contact,Confirmed,1
2020/03/18,From Contact,Confirmed,4
2020/04/06,From Contact,Confirmed,11
2020/03/24,From Contact,Confirmed,6
2020/03/21,From Contact,Confirmed,7
2020/03/14,Community,Confirmed,4
2020/03/23,Community,Confirmed,23
2020/03/31,From Contact,Confirmed,7
2020/03/25,From Contact,Confirmed,8
2020/03/08,From Contact,Confirmed,6
2020/03/30,From Contact,Confirmed,2
2020/03/19,Community,Confirmed,5
2020/03/22,Unknown,Confirmed,1
2020/03/19,From Contact,Confirmed,6
2020/04/09,From Contact,Confirmed,21
2020/03/22,Community,Confirmed,14
2020/03/27,Unknown,Confirmed,5
2020/03/23,From Contact,Confirmed,5
2020/04/08,From Contact,Confirmed,25
2020/03/26,Unknown,Confirmed,3
2020/03/18,Community,Confirmed,10
2020/03/26,Community,Confirmed,33
2020/03/12,From Contact,Confirmed,1
2020/04/04,From Contact,Confirmed,8
2020/04/07,From Contact,Confirmed,8
2020/04/02,Unknown,Confirmed,11
2020/04/22,Community,Death,1
2020/04/12,From Contact,Confirmed,6
2020/04/07,Community,Confirmed,12
2020/04/11,From Contact,Confirmed,7
2020/04/07,Unknown,Confirmed,10
2020/04/10,From Contact,Confirmed,18
2020/04/11,Unknown,Confirmed,13
